,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position
3197,Aquinas College Baccalaureate MICHIGAN,$0,,0,-,,1606
13,Arizona State University-Downtown Phoenix Master ARIZONA,"$129,800",1.7%,121,"$172,400",75.6,1591
960,Arizona State University-Downtown Phoenix Master ARIZONA,"$89,300",3.4%,105,"$117,800",90.7,1596
1909,Arizona State University-Downtown Phoenix Master ARIZONA,"$71,900",3.6%,105,"$99,800",92.9,1601
2858,Arizona State University-Downtown Phoenix Master ARIZONA,"$46,200",8.6%,94,"$66,600",102.5,1606
14,Arizona State University-Polytechnic Master ARIZONA,"$125,700",2.5%,23,"$164,800",115.3,1591
961,Arizona State University-Polytechnic Master ARIZONA,"$91,600",2.3%,44,"$119,700",89.8,1596
1910,Arizona State University-Polytechnic Master ARIZONA,"$81,100",3.7%,42,"$106,200",90.4,1601
2859,Arizona State University-Polytechnic Master ARIZONA,"$45,500",10.2%,37,"$65,800",100.7,1606
15,Arizona State University-Tempe Doctoral ARIZONA,"$146,100",2.1%,622,"$183,300",91.2,1591
962,Arizona State University-Tempe Doctoral ARIZONA,"$103,200",3.1%,468,"$133,000",93.4,1596
1911,Arizona State University-Tempe Doctoral ARIZONA,"$90,300",3.3%,465,"$118,100",86.5,1601
2860,Arizona State University-Tempe Doctoral ARIZONA,"$48,500",9.6%,189,"$68,600",94.9,1606
16,Arizona State University-West Master ARIZONA,"$137,200",0.0%,44,"$173,900",92.6,1591
963,Arizona State University-West Master ARIZONA,"$100,100",2.6%,86,"$128,400",90.5,1596
1912,Arizona State University-West Master ARIZONA,"$69,500",3.0%,75,"$94,900",81.5,1601
2861,Arizona State University-West Master ARIZONA,"$45,100",9.0%,28,"$62,300",98.7,1606
564,Ashland University Master OHIO,"$70,200",0.5%,55,"$90,700",100.9,1591
1511,Ashland University Master OHIO,"$64,100",0.6%,56,"$83,700",95.3,1596
2460,Ashland University Master OHIO,"$61,200",1.4%,32,"$81,500",100.5,1601
3409,Ashland University Master OHIO,"$52,200",-0.3%,40,"$70,300",100.8,1606
313,Assumption College Baccalaureate MASSACHUSETTS,"$97,200",-0.3%,23,"$133,600",101.9,1591
1260,Assumption College Baccalaureate MASSACHUSETTS,"$79,600",-0.4%,63,"$107,200",95.4,1596
2209,Assumption College Baccalaureate MASSACHUSETTS,"$65,400",0.5%,53,"$87,400",101.2,1601
3158,Assumption College Baccalaureate MASSACHUSETTS,"$56,800",0.0%,10,"$71,200",91.3,1606
0,Auburn University Doctoral ALABAMA,"$126,900",3.7%,411,"$181,600",88.8,1591
947,Auburn University Doctoral ALABAMA,"$91,800",4.7%,377,"$126,400",93.3,1596
1896,Auburn University Doctoral ALABAMA,"$78,400",3.9%,356,"$110,200",92.7,1601
2845,Auburn University Doctoral ALABAMA,"$41,900",4.4%,57,"$56,400",97.8,1606
872,Auburn University at Montgomery Master ALABAMA,"$94,900",7.6%,53,"$127,300",93.2,1591
1821,Auburn University at Montgomery Master ALABAMA,"$71,400",12.9%,57,"$96,200",88.1,1596
2770,Auburn University at Montgomery Master ALABAMA,"$63,100",,70,"$81,600",87.8,1601
3719,Auburn University at Montgomery Master ALABAMA,$0,,0,-,,1606
371,Augsburg College Baccalaureate MINNESOTA,"$83,300",2.2%,32,"$103,600",97.6,1591
1318,Augsburg College Baccalaureate MINNESOTA,"$68,100",3.4%,60,"$88,200",103.8,1596
2267,Augsburg College Baccalaureate MINNESOTA,"$67,000",5.7%,55,"$85,800",95.5,1601
3216,Augsburg College Baccalaureate MINNESOTA,"$58,200",4.0%,27,"$70,400",102.5,1606
161,Augustana College Baccalaureate ILLINOIS,"$89,700",2.7%,62,"$114,400",97.9,1591
1108,Augustana College Baccalaureate ILLINOIS,"$69,200",3.1%,50,"$90,500",101.1,1596
2057,Augustana College Baccalaureate ILLINOIS,"$63,300",4.3%,37,"$80,800",95.5,1601
3006,Augustana College Baccalaureate ILLINOIS,"$48,400",,41,"$62,500",96.8,1606
727,Augustana University Baccalaureate SOUTH DAKOTA,"$76,100",0.9%,33,-,93.7,1591
1676,Augustana University Baccalaureate SOUTH DAKOTA,"$63,800",0.2%,39,-,98.5,1596
2625,Augustana University Baccalaureate SOUTH DAKOTA,"$56,500",0.2%,49,-,97.0,1601
3574,Augustana University Baccalaureate SOUTH DAKOTA,"$51,500",0.0%,14,-,92.4,1606
162,Aurora University Master ILLINOIS,"$92,200",-0.5%,22,"$119,900",100.9,1591
1109,Aurora University Master ILLINOIS,"$71,500",,41,"$92,100",95.7,1596
2058,Aurora University Master ILLINOIS,"$61,800",0.4%,76,"$76,300",98.5,1601
3007,Aurora University Master ILLINOIS,$0,,0,-,,1606
749,Austin College Baccalaureate TEXAS,"$77,800",0.7%,31,"$101,800",77.6,1591
1698,Austin College Baccalaureate TEXAS,"$66,500",0.4%,39,"$90,000",97.8,1596
2647,Austin College Baccalaureate TEXAS,"$59,100",5.1%,25,"$77,000",97.2,1601
3596,Austin College Baccalaureate TEXAS,"$47,200",2.0%,9,"$60,000",107.6,1606
748,Austin Community College District Associate with Ranks TEXAS,"$91,300",5.3%,358,"$113,100",97.4,1591
1697,Austin Community College District Associate with Ranks TEXAS,"$70,600",6.6%,153,"$90,600",98.2,1596
2646,Austin Community College District Associate with Ranks TEXAS,"$62,700",6.5%,36,"$81,100",98.1,1601
3595,Austin Community College District Associate with Ranks TEXAS,$0,,0,-,,1606
732,Austin Peay State University Master TENNESSEE,"$85,400",4.8%,141,"$115,100",96.4,1591
1681,Austin Peay State University Master TENNESSEE,"$67,700",6.8%,102,"$93,900",96.8,1596
