,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position
3106,Georgetown College Baccalaureate KENTUCKY,"$40,700",0.0%,7,"$48,800",83.5,1606
113,Georgetown University Doctoral DISTRICT OF COLUMBIA,"$203,400",4.4%,335,"$247,000",91.0,1591
1060,Georgetown University Doctoral DISTRICT OF COLUMBIA,"$130,000",3.6%,239,"$162,100",93.9,1596
2009,Georgetown University Doctoral DISTRICT OF COLUMBIA,"$115,600",3.4%,101,"$144,500",95.2,1601
2958,Georgetown University Doctoral DISTRICT OF COLUMBIA,$0,,0,-,,1606
145,Georgia College and State University Master GEORGIA,"$90,100",2.8%,100,"$121,000",100.2,1591
1092,Georgia College and State University Master GEORGIA,"$71,400",5.4%,72,"$94,500",99.1,1596
2041,Georgia College and State University Master GEORGIA,"$62,800",3.8%,81,"$84,800",102.6,1601
2990,Georgia College and State University Master GEORGIA,$0,6.4%,2,-,,1606
146,Georgia Highlands College Associate with Ranks GEORGIA,"$59,700",4.1%,25,"$75,600",102.1,1591
1093,Georgia Highlands College Associate with Ranks GEORGIA,"$49,500",4.4%,36,"$66,500",101.0,1596
2042,Georgia Highlands College Associate with Ranks GEORGIA,"$46,100",3.9%,39,"$62,300",107.7,1601
2991,Georgia Highlands College Associate with Ranks GEORGIA,"$43,100",3.7%,29,"$58,000",105.5,1606
147,Georgia Institute of Technology-Main Campus Doctoral GEORGIA,"$168,400",2.6%,520,"$223,800",92.1,1591
1094,Georgia Institute of Technology-Main Campus Doctoral GEORGIA,"$113,100",3.9%,295,"$144,800",94.8,1596
2043,Georgia Institute of Technology-Main Campus Doctoral GEORGIA,"$103,000",2.8%,199,"$132,400",97.8,1601
2992,Georgia Institute of Technology-Main Campus Doctoral GEORGIA,"$55,900",8.4%,10,"$103,800",85.6,1606
148,Georgia Southern University Master GEORGIA,"$82,900",2.2%,141,"$106,700",92.4,1591
1095,Georgia Southern University Master GEORGIA,"$75,500",2.3%,200,"$97,200",92.9,1596
2044,Georgia Southern University Master GEORGIA,"$74,500",2.7%,241,"$96,000",92.1,1601
2993,Georgia Southern University Master GEORGIA,"$54,100",2.1%,35,"$73,300",97.6,1606
439,Georgian Court University Master NEW JERSEY,"$89,200",2.0%,27,"$111,300",95.5,1591
1386,Georgian Court University Master NEW JERSEY,"$70,300",2.3%,24,"$90,100",107.9,1596
2335,Georgian Court University Master NEW JERSEY,"$65,300",2.2%,35,"$84,900",100.1,1601
3284,Georgian Court University Master NEW JERSEY,$0,,1,-,,1606
658,Gettysburg College Baccalaureate PENNSYLVANIA,"$110,200",1.9%,58,"$149,700",96.3,1591
1606,Gettysburg College Baccalaureate PENNSYLVANIA,"$87,700",2.5%,87,"$119,500",96.7,1596
2555,Gettysburg College Baccalaureate PENNSYLVANIA,"$74,600",3.8%,49,"$101,900",99.8,1601
3504,Gettysburg College Baccalaureate PENNSYLVANIA,$0,,0,-,,1606
934,Golden Gate University-San Francisco Master CALIFORNIA,"$105,900",,31,-,86.7,1591
1883,Golden Gate University-San Francisco Master CALIFORNIA,"$99,000",,16,-,123.1,1596
2832,Golden Gate University-San Francisco Master CALIFORNIA,"$86,400",,7,-,102.2,1601
3781,Golden Gate University-San Francisco Master CALIFORNIA,"$64,800",12.1%,5,-,93.3,1606
326,Gordon College Baccalaureate MASSACHUSETTS,"$84,000",0.0%,43,"$114,300",99.7,1591
1273,Gordon College Baccalaureate MASSACHUSETTS,"$68,600",0.1%,24,"$91,300",101.7,1596
2222,Gordon College Baccalaureate MASSACHUSETTS,"$56,300",0.0%,19,"$74,100",94.7,1601
3171,Gordon College Baccalaureate MASSACHUSETTS,$0,0.0%,2,-,,1606
202,Goshen College Baccalaureate INDIANA,"$67,200",1.6%,32,"$99,200",101.8,1591
1149,Goshen College Baccalaureate INDIANA,"$54,100",1.7%,23,"$72,100",97.0,1596
2098,Goshen College Baccalaureate INDIANA,"$44,900",1.4%,9,"$59,300",97.9,1601
3047,Goshen College Baccalaureate INDIANA,$0,,0,-,,1606
298,Goucher College Baccalaureate MARYLAND,"$91,000",0.0%,26,"$114,800",91.6,1591
1245,Goucher College Baccalaureate MARYLAND,"$76,500",1.3%,43,"$96,100",94.8,1596
2194,Goucher College Baccalaureate MARYLAND,"$62,500",1.2%,50,"$78,300",92.7,1601
3143,Goucher College Baccalaureate MARYLAND,"$52,300",0.0%,11,"$66,500",92.4,1606
167,Governors State University Master ILLINOIS,"$102,600",,30,-,106.3,1591
1114,Governors State University Master ILLINOIS,"$85,600",,61,-,97.4,1596
2063,Governors State University Master ILLINOIS,"$74,000",,55,-,89.7,1601
3012,Governors State University Master ILLINOIS,$0,,0,-,,1606
234,Graceland University-Lamoni Baccalaureate IOWA,"$74,400",7.9%,24,-,110.3,1591
1181,Graceland University-Lamoni Baccalaureate IOWA,"$59,500",4.9%,17,-,112.5,1596
2130,Graceland University-Lamoni Baccalaureate IOWA,"$49,000",7.8%,26,-,106.7,1601
3079,Graceland University-Lamoni Baccalaureate IOWA,"$39,400",2.0%,5,-,98.4,1606
18,Grand Canyon University Baccalaureate ARIZONA,"$79,200",2.9%,7,-,104.3,1591
965,Grand Canyon University Baccalaureate ARIZONA,"$81,400",3.0%,22,-,110.2,1596
1914,Grand Canyon University Baccalaureate ARIZONA,"$71,500",3.5%,71,-,97.0,1601
2863,Grand Canyon University Baccalaureate ARIZONA,"$67,800",4.8%,106,-,108.2,1606
357,Grand Valley State University Master MICHIGAN,"$105,600",,279,-,94.5,1591
1304,Grand Valley State University Master MICHIGAN,"$85,900",,312,-,96.1,1596
2253,Grand Valley State University Master MICHIGAN,"$71,400",,237,-,94.7,1601
3202,Grand Valley State University Master MICHIGAN,"$73,300",,12,-,71.3,1606
540,Greensboro College Baccalaureate NORTH CAROLINA,"$57,300",2.9%,24,"$69,900",95.3,1591
1487,Greensboro College Baccalaureate NORTH CAROLINA,"$54,300",3.1%,7,"$66,500",89.8,1596
2436,Greensboro College Baccalaureate NORTH CAROLINA,"$47,000",3.6%,13,"$58,200",95.9,1601
3385,Greensboro College Baccalaureate NORTH CAROLINA,$0,2.0%,2,-,,1606
235,Grinnell College Baccalaureate IOWA,"$136,800",7.0%,50,"$179,300",92.8,1591
1182,Grinnell College Baccalaureate IOWA,"$103,500",6.9%,59,"$137,400",99.8,1596
2131,Grinnell College Baccalaureate IOWA,"$84,200",7.3%,41,"$109,500",99.5,1601
3080,Grinnell College Baccalaureate IOWA,"$63,700",3.5%,12,"$80,800",100.4,1606
541,Guilford College Baccalaureate NORTH CAROLINA,"$74,700",9.5%,32,"$95,000",94.8,1591
1488,Guilford College Baccalaureate NORTH CAROLINA,"$60,000",6.7%,24,"$77,200",99.6,1596
2437,Guilford College Baccalaureate NORTH CAROLINA,"$56,200",6.4%,23,"$70,900",91.8,1601
3386,Guilford College Baccalaureate NORTH CAROLINA,"$46,300",5.9%,19,"$58,700",100.5,1606
376,Gustavus Adolphus College Baccalaureate MINNESOTA,"$82,400",1.4%,45,"$112,100",93.0,1591
1323,Gustavus Adolphus College Baccalaureate MINNESOTA,"$65,500",2.1%,73,"$90,000",94.4,1596
2272,Gustavus Adolphus College Baccalaureate MINNESOTA,"$56,100",3.6%,52,"$74,200",103.1,1601
3221,Gustavus Adolphus College Baccalaureate MINNESOTA,"$52,100",2.7%,14,"$65,700",100.5,1606
659,Gwynedd Mercy University Baccalaureate PENNSYLVANIA,"$90,400",2.0%,8,"$127,200",111.6,1591
1607,Gwynedd Mercy University Baccalaureate PENNSYLVANIA,"$70,600",2.0%,21,"$104,500",94.0,1596
2556,Gwynedd Mercy University Baccalaureate PENNSYLVANIA,"$61,300",2.0%,36,"$87,300",98.0,1601
3505,Gwynedd Mercy University Baccalaureate PENNSYLVANIA,"$45,300",2.0%,16,"$73,600",166.6,1606
463,Hamilton College Baccalaureate NEW YORK,"$142,900",4.1%,78,"$178,800",95.7,1591
1410,Hamilton College Baccalaureate NEW YORK,"$107,300",4.2%,45,"$139,500",102.9,1596
2359,Hamilton College Baccalaureate NEW YORK,"$83,600",3.8%,43,"$108,600",96.9,1601
3308,Hamilton College Baccalaureate NEW YORK,$0,,0,-,,1606
377,Hamline University Master MINNESOTA,"$79,800",1.2%,54,"$100,900",100.4,1591
1324,Hamline University Master MINNESOTA,"$62,100",2.8%,32,"$80,100",87.2,1596
2273,Hamline University Master MINNESOTA,"$60,600",4.6%,33,"$76,800",102.0,1601
3222,Hamline University Master MINNESOTA,$0,5.7%,3,-,88.7,1606
800,Hampden-Sydney College Baccalaureate VIRGINIA,"$90,400",-0.1%,41,"$117,100",83.2,1591
1749,Hampden-Sydney College Baccalaureate VIRGINIA,"$68,400",0.7%,24,"$87,400",94.4,1596
2698,Hampden-Sydney College Baccalaureate VIRGINIA,"$63,400",3.2%,13,"$79,700",107.8,1601
3647,Hampden-Sydney College Baccalaureate VIRGINIA,$0,,0,-,,1606
327,Hampshire College Baccalaureate MASSACHUSETTS,"$109,700",0.8%,29,"$138,700",97.7,1591
1274,Hampshire College Baccalaureate MASSACHUSETTS,"$79,100",3.4%,29,"$97,500",96.3,1596
2223,Hampshire College Baccalaureate MASSACHUSETTS,"$64,300",2.1%,26,"$78,400",100.2,1601
3172,Hampshire College Baccalaureate MASSACHUSETTS,"$62,100",1.3%,13,"$81,200",86.3,1606
203,Hanover College Baccalaureate INDIANA,"$76,200",0.2%,45,"$96,800",100.3,1591
1150,Hanover College Baccalaureate INDIANA,"$68,600",15.0%,17,"$87,100",98.1,1596
2099,Hanover College Baccalaureate INDIANA,"$59,000",12.3%,17,"$75,100",89.5,1601
3048,Hanover College Baccalaureate INDIANA,$0,,2,-,91.8,1606
751,Hardin-Simmons University Master TEXAS,"$70,800",3.8%,54,"$100,800",94.3,1591
1700,Hardin-Simmons University Master TEXAS,"$65,100",4.9%,36,"$96,200",102.2,1596
2649,Hardin-Simmons University Master TEXAS,"$64,500",3.3%,30,"$112,900",109.2,1601
3598,Hardin-Simmons University Master TEXAS,"$58,100",13.3%,5,"$80,200",80.6,1606
21,Harding University Master ARKANSAS,"$81,900",2.9%,67,"$104,600",90.9,1591
968,Harding University Master ARKANSAS,"$70,600",2.9%,88,"$101,000",99.4,1596
1917,Harding University Master ARKANSAS,"$63,700",2.9%,117,"$89,600",94.5,1601
2866,Harding University Master ARKANSAS,"$49,900",4.0%,20,"$62,000",86.4,1606
464,Hartwick College Baccalaureate NEW YORK,"$83,900",1.0%,42,-,98.3,1591
1411,Hartwick College Baccalaureate NEW YORK,"$65,700",1.5%,26,-,104.7,1596
2360,Hartwick College Baccalaureate NEW YORK,"$60,200",0.9%,37,-,105.3,1601
3309,Hartwick College Baccalaureate NEW YORK,$0,,1,-,,1606
328,Harvard University Doctoral MASSACHUSETTS,"$245,800",3.1%,979,"$299,100",91.8,1591
1275,Harvard University Doctoral MASSACHUSETTS,"$151,700",5.6%,144,"$180,000",100.2,1596
2224,Harvard University Doctoral MASSACHUSETTS,"$140,700",6.2%,201,"$173,200",85.1,1601
3173,Harvard University Doctoral MASSACHUSETTS,"$68,700",5.4%,142,"$82,600",99.7,1606
418,Hastings College Baccalaureate NEBRASKA,"$64,800",0.5%,37,-,94.4,1591
1365,Hastings College Baccalaureate NEBRASKA,"$53,300",3.8%,7,-,102.9,1596
2314,Hastings College Baccalaureate NEBRASKA,"$50,000",0.0%,21,-,96.2,1601
3263,Hastings College Baccalaureate NEBRASKA,"$40,200",0.0%,5,-,119.2,1606
660,Haverford College Baccalaureate PENNSYLVANIA,"$129,500",2.7%,41,"$174,200",105.3,1591
1608,Haverford College Baccalaureate PENNSYLVANIA,"$99,000",4.4%,35,"$140,700",105.6,1596
2557,Haverford College Baccalaureate PENNSYLVANIA,"$80,900",3.9%,25,"$116,700",99.1,1601
3506,Haverford College Baccalaureate PENNSYLVANIA,"$70,500",4.7%,36,"$99,400",96.9,1606
3798,Hawkeye Community College Associate without Ranks. IOWA,"$59,200",,0,"$90,700",98.8,1611
22,Henderson State University Master ARKANSAS,"$70,200",3.6%,51,"$89,000",94.5,1591
969,Henderson State University Master ARKANSAS,"$61,600",4.4%,38,"$79,900",89.3,1596
1918,Henderson State University Master ARKANSAS,"$55,800",4.2%,62,"$72,800",101.4,1601
2867,Henderson State University Master ARKANSAS,"$45,900",7.2%,25,"$62,900",84.9,1606
23,Hendrix College Baccalaureate ARKANSAS,"$82,500",2.7%,41,"$103,700",97.3,1591
970,Hendrix College Baccalaureate ARKANSAS,"$66,400",3.3%,29,"$87,800",101.9,1596
1919,Hendrix College Baccalaureate ARKANSAS,"$61,300",3.5%,26,"$76,600",103.2,1601
2868,Hendrix College Baccalaureate ARKANSAS,"$48,000",2.4%,8,"$60,000",91.9,1606
465,Hilbert College Baccalaureate NEW YORK,"$70,900",0.0%,13,"$87,800",99.4,1591
1412,Hilbert College Baccalaureate NEW YORK,"$60,400",0.0%,8,"$82,500",128.5,1596
2361,Hilbert College Baccalaureate NEW YORK,"$51,400",0.0%,15,"$65,200",79.0,1601
3310,Hilbert College Baccalaureate NEW YORK,$0,,0,-,,1606
466,Hobart William Smith Colleges Baccalaureate NEW YORK,"$116,900",1.6%,52,"$157,000",94.1,1591
1413,Hobart William Smith Colleges Baccalaureate NEW YORK,"$83,000",1.5%,79,"$117,700",98.2,1596
2362,Hobart William Smith Colleges Baccalaureate NEW YORK,"$71,200",2.4%,54,"$100,900",96.0,1601
3311,Hobart William Smith Colleges Baccalaureate NEW YORK,"$66,900",1.8%,8,"$93,600",107.0,1606
467,Hofstra University Doctoral NEW YORK,"$145,200",3.1%,199,"$198,800",90.1,1591
1414,Hofstra University Doctoral NEW YORK,"$105,800",3.3%,170,"$147,600",91.1,1596
2363,Hofstra University Doctoral NEW YORK,"$95,600",1.8%,120,"$121,800",106.1,1601
3312,Hofstra University Doctoral NEW YORK,"$84,000",3.0%,4,"$114,400",93.8,1606
801,Hollins University Baccalaureate VIRGINIA,"$84,000",0.0%,27,"$103,800",89.7,1591
1750,Hollins University Baccalaureate VIRGINIA,"$68,700",0.0%,24,"$85,500",92.3,1596
2699,Hollins University Baccalaureate VIRGINIA,"$55,700",5.6%,6,"$70,300",97.2,1601
3648,Hollins University Baccalaureate VIRGINIA,"$56,100",0.0%,13,"$70,800",105.5,1606
911,Holy Family University Master PENNSYLVANIA,"$92,600",1.9%,15,"$111,100",92.9,1591
1860,Holy Family University Master PENNSYLVANIA,"$73,100",2.3%,21,"$89,900",100.2,1596
2809,Holy Family University Master PENNSYLVANIA,"$65,300",1.8%,26,"$82,200",97.5,1601
3758,Holy Family University Master PENNSYLVANIA,"$63,100",3.6%,15,"$79,200",76.5,1606
928,Holy Names University Master CALIFORNIA,"$92,500",2.0%,10,"$110,500",89.1,1591
1877,Holy Names University Master CALIFORNIA,"$77,500",2.0%,12,"$97,300",92.2,1596
2826,Holy Names University Master CALIFORNIA,"$64,200",2.0%,18,"$76,600",97.4,1601
3775,Holy Names University Master CALIFORNIA,"$58,300",2.0%,5,"$66,700",89.9,1606
878,Holyoke Community College Associate with Ranks MASSACHUSETTS,"$72,100",3.0%,79,"$93,600",95.9,1591
1827,Holyoke Community College Associate with Ranks MASSACHUSETTS,"$58,400",4.0%,15,"$75,900",97.2,1596
2776,Holyoke Community College Associate with Ranks MASSACHUSETTS,"$55,200",4.5%,16,"$71,800",105.9,1601
3725,Holyoke Community College Associate with Ranks MASSACHUSETTS,"$51,200",2.8%,18,"$66,600",109.6,1606
299,Hood College Master MARYLAND,"$82,200",2.5%,30,"$99,100",99.5,1591
1246,Hood College Master MARYLAND,"$65,100",2.9%,38,"$84,300",89.5,1596
2195,Hood College Master MARYLAND,"$56,900",6.7%,35,"$74,500",100.2,1601
3144,Hood College Master MARYLAND,$0,1.5%,2,-,155.4,1606
358,Hope College Baccalaureate MICHIGAN,"$90,700",2.3%,84,"$127,000",95.2,1591
1305,Hope College Baccalaureate MICHIGAN,"$72,400",1.8%,64,"$99,300",98.8,1596
2254,Hope College Baccalaureate MICHIGAN,"$60,800",1.8%,64,"$83,100",94.7,1601
3203,Hope College Baccalaureate MICHIGAN,"$55,200",0.8%,16,"$70,500",103.7,1606
300,Howard Community College Associate with Ranks MARYLAND,"$93,200",4.7%,60,"$134,600",104.4,1591
1247,Howard Community College Associate with Ranks MARYLAND,"$74,700",3.3%,66,"$103,800",96.4,1596
2196,Howard Community College Associate with Ranks MARYLAND,"$65,500",2.7%,56,"$94,300",103.1,1601
3145,Howard Community College Associate with Ranks MARYLAND,"$62,000",2.6%,17,"$91,200",104.3,1606
114,Howard University Doctoral DISTRICT OF COLUMBIA,"$113,200",2.9%,174,"$142,700",93.1,1591
1061,Howard University Doctoral DISTRICT OF COLUMBIA,"$85,600",3.7%,206,"$110,700",99.3,1596
2010,Howard University Doctoral DISTRICT OF COLUMBIA,"$78,800",3.4%,194,"$99,200",98.3,1601
2959,Howard University Doctoral DISTRICT OF COLUMBIA,"$64,600",3.2%,45,"$81,500",99.8,1606
56,Humboldt State University Master CALIFORNIA,"$102,600",5.0%,119,"$134,500",98.3,1591
1003,Humboldt State University Master CALIFORNIA,"$87,300",7.2%,51,"$118,400",96.9,1596
1952,Humboldt State University Master CALIFORNIA,"$74,800",6.1%,78,"$102,200",95.2,1601
2901,Humboldt State University Master CALIFORNIA,$0,,0,-,,1606
2,Huntingdon College Baccalaureate ALABAMA,"$76,700",0.0%,13,"$89,500",109.6,1591
949,Huntingdon College Baccalaureate ALABAMA,"$65,000",3.1%,6,"$76,800",85.4,1596
1898,Huntingdon College Baccalaureate ALABAMA,"$52,000",2.7%,20,"$60,600",114.3,1601
2847,Huntingdon College Baccalaureate ALABAMA,"$44,500",0.7%,7,"$52,200",91.3,1606
204,Huntington University Baccalaureate INDIANA,"$65,200",0.0%,22,"$88,900",115.0,1591
1151,Huntington University Baccalaureate INDIANA,"$57,000",0.8%,15,"$80,100",98.7,1596
2100,Huntington University Baccalaureate INDIANA,"$52,800",0.8%,21,"$72,400",102.0,1601
3049,Huntington University Baccalaureate INDIANA,"$46,500",3.1%,7,"$68,700",115.0,1606
936,Idaho State University Doctoral IDAHO,"$85,500",,129,"$123,900",91.9,1591
1885,Idaho State University Doctoral IDAHO,"$72,700",,83,"$105,300",85.2,1596
2834,Idaho State University Doctoral IDAHO,"$65,500",,120,"$95,000",92.1,1601
3783,Idaho State University Doctoral IDAHO,"$46,800",,49,"$84,200",91.7,1606
168,Illinois College Baccalaureate ILLINOIS,"$80,600",0.3%,28,"$99,600",97.5,1591
1115,Illinois College Baccalaureate ILLINOIS,"$65,900",0.6%,21,"$84,700",95.7,1596
2064,Illinois College Baccalaureate ILLINOIS,"$54,900",1.1%,21,"$67,900",97.7,1601
3013,Illinois College Baccalaureate ILLINOIS,"$44,500",0.4%,5,"$55,600",95.7,1606
863,Illinois Institute of Technology Doctoral ILLINOIS,"$148,500",2.4%,162,"$191,600",95.5,1591
1812,Illinois Institute of Technology Doctoral ILLINOIS,"$106,500",5.0%,108,"$136,200",107.3,1596
2761,Illinois Institute of Technology Doctoral ILLINOIS,"$94,100",5.0%,88,"$117,400",97.8,1601
3710,Illinois Institute of Technology Doctoral ILLINOIS,"$63,200",2.0%,10,"$87,700",75.3,1606
169,Illinois State University Doctoral ILLINOIS,"$94,200",2.4%,255,"$128,300",90.0,1591
1116,Illinois State University Doctoral ILLINOIS,"$75,300",2.8%,265,"$103,000",95.7,1596
2065,Illinois State University Doctoral ILLINOIS,"$74,800",2.6%,180,"$99,500",95.9,1601
3014,Illinois State University Doctoral ILLINOIS,$0,,0,-,,1606
170,Illinois Wesleyan University Baccalaureate ILLINOIS,"$88,600",1.5%,50,"$126,800",97.2,1591
1117,Illinois Wesleyan University Baccalaureate ILLINOIS,"$69,500",2.5%,43,"$97,000",94.4,1596
2066,Illinois Wesleyan University Baccalaureate ILLINOIS,"$60,400",3.4%,46,"$80,000",107.4,1601
3015,Illinois Wesleyan University Baccalaureate ILLINOIS,$0,1.0%,3,-,,1606
937,Indiana Institute of Technology Baccalaureate INDIANA,"$79,000",3.9%,5,-,77.3,1591
1886,Indiana Institute of Technology Baccalaureate INDIANA,"$69,300",3.0%,27,-,105.6,1596
2835,Indiana Institute of Technology Baccalaureate INDIANA,"$58,500",6.5%,22,-,93.8,1601
3784,Indiana Institute of Technology Baccalaureate INDIANA,$0,12.2%,3,-,105.6,1606
206,Indiana State University Doctoral INDIANA,"$100,100",2.2%,123,"$132,000",91.4,1591
1153,Indiana State University Doctoral INDIANA,"$80,600",3.3%,122,"$108,800",93.4,1596
2102,Indiana State University Doctoral INDIANA,"$69,800",3.1%,106,"$97,100",102.0,1601
3051,Indiana State University Doctoral INDIANA,"$50,600",4.5%,104,"$68,400",102.6,1606
661,Indiana University of Pennsylvania-Main Campus Doctoral PENNSYLVANIA,"$111,700",2.0%,181,"$137,400",98.4,1591
1609,Indiana University of Pennsylvania-Main Campus Doctoral PENNSYLVANIA,"$87,600",3.1%,164,"$109,400",100.3,1596
2558,Indiana University of Pennsylvania-Main Campus Doctoral PENNSYLVANIA,"$66,700",3.5%,142,"$83,700",95.3,1601
3507,Indiana University of Pennsylvania-Main Campus Doctoral PENNSYLVANIA,"$54,400",5.8%,41,"$72,600",100.6,1606
207,Indiana University-Bloomington Doctoral INDIANA,"$142,200",1.7%,684,"$175,400",89.0,1591
1154,Indiana University-Bloomington Doctoral INDIANA,"$97,300",2.9%,496,"$121,900",90.6,1596
2103,Indiana University-Bloomington Doctoral INDIANA,"$99,900",3.0%,351,"$123,200",83.5,1601
3052,Indiana University-Bloomington Doctoral INDIANA,$0,,0,-,,1606
208,Indiana University-East Baccalaureate INDIANA,"$89,400",2.5%,7,"$124,500",82.7,1591
1155,Indiana University-East Baccalaureate INDIANA,"$72,100",,22,"$93,200",114.8,1596
2104,Indiana University-East Baccalaureate INDIANA,"$65,700",3.1%,50,"$83,800",103.6,1601
3053,Indiana University-East Baccalaureate INDIANA,$0,,0,-,,1606
209,Indiana University-Kokomo Baccalaureate INDIANA,"$92,800",2.3%,10,"$122,100",82.0,1591
1156,Indiana University-Kokomo Baccalaureate INDIANA,"$68,700",3.5%,23,"$90,200",101.3,1596
2105,Indiana University-Kokomo Baccalaureate INDIANA,"$60,300",2.5%,44,"$78,800",100.2,1601
3054,Indiana University-Kokomo Baccalaureate INDIANA,$0,,0,-,,1606
210,Indiana University-Northwest Master INDIANA,"$90,200",2.2%,29,"$118,600",82.4,1591
1157,Indiana University-Northwest Master INDIANA,"$69,600",3.0%,47,"$92,800",98.5,1596
2106,Indiana University-Northwest Master INDIANA,"$61,800",3.2%,54,"$80,200",94.4,1601
3055,Indiana University-Northwest Master INDIANA,$0,,0,-,,1606
205,Indiana University-Purdue University-Fort Wayne Master INDIANA,"$89,000",-0.2%,73,"$126,700",86.3,1591
1152,Indiana University-Purdue University-Fort Wayne Master INDIANA,"$72,300",0.7%,126,"$99,700",103.0,1596
2101,Indiana University-Purdue University-Fort Wayne Master INDIANA,"$64,400",1.5%,97,"$89,300",99.2,1601
3050,Indiana University-Purdue University-Fort Wayne Master INDIANA,"$57,600",,9,"$77,600",101.3,1606
922,Indiana University-Purdue University-Indianapolis Doctoral INDIANA,"$121,900",2.1%,243,"$167,200",89.9,1591
1871,Indiana University-Purdue University-Indianapolis Doctoral INDIANA,"$87,400",2.5%,333,"$115,000",94.9,1596
2820,Indiana University-Purdue University-Indianapolis Doctoral INDIANA,"$78,400",3.3%,281,"$102,700",86.5,1601
3769,Indiana University-Purdue University-Indianapolis Doctoral INDIANA,$0,,0,-,,1606
211,Indiana University-South Bend Master INDIANA,"$77,000",1.1%,47,"$99,200",92.8,1591
1158,Indiana University-South Bend Master INDIANA,"$65,000",1.2%,81,"$83,900",94.9,1596
2107,Indiana University-South Bend Master INDIANA,"$63,700",3.1%,51,"$81,900",89.0,1601
3056,Indiana University-South Bend Master INDIANA,$0,,0,-,,1606
212,Indiana University-Southeast Master INDIANA,"$86,700",1.0%,43,"$111,000",94.3,1591
1159,Indiana University-Southeast Master INDIANA,"$74,300",0.6%,54,"$94,500",95.7,1596
2108,Indiana University-Southeast Master INDIANA,"$64,400",1.3%,43,"$82,000",86.9,1601
3057,Indiana University-Southeast Master INDIANA,$0,,0,-,,1606
213,Indiana Wesleyan University-Marion Baccalaureate INDIANA,"$78,600",2.2%,75,-,99.9,1591
1160,Indiana Wesleyan University-Marion Baccalaureate INDIANA,"$67,000",2.1%,82,-,98.5,1596
2109,Indiana Wesleyan University-Marion Baccalaureate INDIANA,"$57,400",2.3%,119,-,98.6,1601
3058,Indiana Wesleyan University-Marion Baccalaureate INDIANA,$0,15.1%,1,-,,1606
468,Iona College Master NEW YORK,"$110,300",1.4%,46,"$141,400",96.4,1591
1415,Iona College Master NEW YORK,"$81,700",1.1%,53,"$108,400",105.4,1596
2364,Iona College Master NEW YORK,"$72,500",1.1%,55,"$88,200",91.4,1601
3313,Iona College Master NEW YORK,$0,,2,-,,1606
236,Iowa State University Doctoral IOWA,"$130,500",1.0%,506,"$180,400",94.7,1591
1183,Iowa State University Doctoral IOWA,"$98,000",1.2%,402,"$134,500",92.3,1596
2132,Iowa State University Doctoral IOWA,"$84,400",0.8%,422,"$118,600",92.2,1601
3081,Iowa State University Doctoral IOWA,$0,,0,-,,1606
469,Ithaca College Master NEW YORK,"$103,300",2.4%,106,"$133,800",99.5,1591
1416,Ithaca College Master NEW YORK,"$81,900",3.0%,184,"$108,400",96.3,1596
2365,Ithaca College Master NEW YORK,"$69,600",3.5%,191,"$92,500",100.0,1601
3314,Ithaca College Master NEW YORK,"$64,900",2.8%,29,"$89,500",91.1,1606
875,Ivy Tech Community College Associate with Ranks INDIANA,"$70,300",,90,"$101,300",100.3,1591
1824,Ivy Tech Community College Associate with Ranks INDIANA,"$56,600",,330,"$80,900",97.3,1596
2773,Ivy Tech Community College Associate with Ranks INDIANA,"$51,000",,671,"$71,600",104.2,1601
3722,Ivy Tech Community College Associate with Ranks INDIANA,"$46,200",,239,"$58,700",100.1,1606
125,Jacksonville University Master FLORIDA,"$84,800",1.8%,51,"$111,400",90.1,1591
1072,Jacksonville University Master FLORIDA,"$73,600",5.2%,56,"$98,400",94.1,1596
2021,Jacksonville University Master FLORIDA,"$76,000",3.4%,77,"$113,000",96.6,1601
2970,Jacksonville University Master FLORIDA,"$46,400",0.7%,13,"$66,300",95.2,1606
802,James Madison University Master VIRGINIA,"$96,000",5.2%,341,"$141,800",93.9,1591
1751,James Madison University Master VIRGINIA,"$78,400",5.7%,292,"$114,100",93.0,1596
2700,James Madison University Master VIRGINIA,"$70,600",5.4%,265,"$103,000",95.1,1601
3649,James Madison University Master VIRGINIA,"$59,900",6.3%,146,"$92,200",98.2,1606
24,John Brown University Baccalaureate ARKANSAS,"$68,400",2.5%,25,"$104,200",93.1,1591
971,John Brown University Baccalaureate ARKANSAS,"$61,900",2.9%,30,"$83,600",100.0,1596
1920,John Brown University Baccalaureate ARKANSAS,"$55,400",3.4%,30,"$74,300",92.9,1601
2869,John Brown University Baccalaureate ARKANSAS,$0,4.6%,3,-,82.7,1606
575,John Carroll University Master OHIO,"$94,800",0.0%,63,"$124,600",89.3,1591
1522,John Carroll University Master OHIO,"$72,300",0.0%,69,"$99,500",99.4,1596
2471,John Carroll University Master OHIO,"$80,400",0.4%,35,"$106,000",84.2,1601
3420,John Carroll University Master OHIO,"$61,300",3.0%,9,"$74,600",92.4,1606
301,Johns Hopkins University Doctoral MARYLAND,"$184,200",4.4%,429,"$246,900",94.1,1591
1248,Johns Hopkins University Doctoral MARYLAND,"$124,000",8.4%,159,"$174,800",95.6,1596
2197,Johns Hopkins University Doctoral MARYLAND,"$108,700",7.1%,274,"$150,900",89.5,1601
