,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position,State,Category
65,Aquinas College ,55300,11.2,38.0,76900.0,98.8,AP,MICHIGAN,Baccalaureate
66,Aquinas College ,51700,5.6,26.0,66000.0,93.2,aP,MICHIGAN,Baccalaureate
67,Aquinas College ,0,,0.0,,,I,MICHIGAN,Baccalaureate
68,Arizona State University-Downtown Phoenix ,129800,1.7,121.0,172400.0,75.6,P,ARIZONA,Master
69,Arizona State University-Downtown Phoenix ,89300,3.4,105.0,117800.0,90.7,AP,ARIZONA,Master
70,Arizona State University-Downtown Phoenix ,71900,3.6,105.0,99800.0,92.9,aP,ARIZONA,Master
71,Arizona State University-Downtown Phoenix ,46200,8.6,94.0,66600.0,102.5,I,ARIZONA,Master
72,Arizona State University-Polytechnic ,125700,2.5,23.0,164800.0,115.3,P,ARIZONA,Master
73,Arizona State University-Polytechnic ,91600,2.3,44.0,119700.0,89.8,AP,ARIZONA,Master
74,Arizona State University-Polytechnic ,81100,3.7,42.0,106200.0,90.4,aP,ARIZONA,Master
75,Arizona State University-Polytechnic ,45500,10.2,37.0,65800.0,100.7,I,ARIZONA,Master
76,Arizona State University-Tempe ,146100,2.1,622.0,183300.0,91.2,P,ARIZONA,Doctor
77,Arizona State University-Tempe ,103200,3.1,468.0,133000.0,93.4,AP,ARIZONA,Doctor
78,Arizona State University-Tempe ,90300,3.3,465.0,118100.0,86.5,aP,ARIZONA,Doctor
79,Arizona State University-Tempe ,48500,9.6,189.0,68600.0,94.9,I,ARIZONA,Doctor
80,Arizona State University-West ,137200,0.0,44.0,173900.0,92.6,P,ARIZONA,Master
81,Arizona State University-West ,100100,2.6,86.0,128400.0,90.5,AP,ARIZONA,Master
82,Arizona State University-West ,69500,3.0,75.0,94900.0,81.5,aP,ARIZONA,Master
83,Arizona State University-West ,45100,9.0,28.0,62300.0,98.7,I,ARIZONA,Master
84,Ashland University ,70200,0.5,55.0,90700.0,100.9,P,OHIO,Master
85,Ashland University ,64100,0.6,56.0,83700.0,95.3,AP,OHIO,Master
86,Ashland University ,61200,1.4,32.0,81500.0,100.5,aP,OHIO,Master
87,Ashland University ,52200,-0.3,40.0,70300.0,100.8,I,OHIO,Master
88,Assumption College ,97200,-0.3,23.0,133600.0,101.9,P,MASSACHUSETTS,Baccalaureate
89,Assumption College ,79600,-0.4,63.0,107200.0,95.4,AP,MASSACHUSETTS,Baccalaureate
90,Assumption College ,65400,0.5,53.0,87400.0,101.2,aP,MASSACHUSETTS,Baccalaureate
91,Assumption College ,56800,0.0,10.0,71200.0,91.3,I,MASSACHUSETTS,Baccalaureate
92,Auburn University ,126900,3.7,411.0,181600.0,88.8,P,ALABAMA,Doctor
93,Auburn University ,91800,4.7,377.0,126400.0,93.3,AP,ALABAMA,Doctor
94,Auburn University ,78400,3.9,356.0,110200.0,92.7,aP,ALABAMA,Doctor
95,Auburn University ,41900,4.4,57.0,56400.0,97.8,I,ALABAMA,Doctor
96,Auburn University at Montgomery ,94900,7.6,53.0,127300.0,93.2,P,ALABAMA,Master
97,Auburn University at Montgomery ,71400,12.9,57.0,96200.0,88.1,AP,ALABAMA,Master
98,Auburn University at Montgomery ,63100,,70.0,81600.0,87.8,aP,ALABAMA,Master
99,Auburn University at Montgomery ,0,,0.0,,,I,ALABAMA,Master
100,Augsburg College ,83300,2.2,32.0,103600.0,97.6,P,MINNESOTA,Baccalaureate
101,Augsburg College ,68100,3.4,60.0,88200.0,103.8,AP,MINNESOTA,Baccalaureate
102,Augsburg College ,67000,5.7,55.0,85800.0,95.5,aP,MINNESOTA,Baccalaureate
103,Augsburg College ,58200,4.0,27.0,70400.0,102.5,I,MINNESOTA,Baccalaureate
104,Augustana College ,89700,2.7,62.0,114400.0,97.9,P,ILLINOIS,Baccalaureate
105,Augustana College ,69200,3.1,50.0,90500.0,101.1,AP,ILLINOIS,Baccalaureate
106,Augustana College ,63300,4.3,37.0,80800.0,95.5,aP,ILLINOIS,Baccalaureate
107,Augustana College ,48400,,41.0,62500.0,96.8,I,ILLINOIS,Baccalaureate
108,Augustana University ,76100,0.9,33.0,,93.7,P,DAKOTA,Baccalaureate
109,Augustana University ,63800,0.2,39.0,,98.5,AP,DAKOTA,Baccalaureate
110,Augustana University ,56500,0.2,49.0,,97.0,aP,DAKOTA,Baccalaureate
111,Augustana University ,51500,0.0,14.0,,92.4,I,DAKOTA,Baccalaureate
112,Aurora University ,92200,-0.5,22.0,119900.0,100.9,P,ILLINOIS,Master
113,Aurora University ,71500,,41.0,92100.0,95.7,AP,ILLINOIS,Master
114,Aurora University ,61800,0.4,76.0,76300.0,98.5,aP,ILLINOIS,Master
115,Aurora University ,0,,0.0,,,I,ILLINOIS,Master
